0,0,0
1,0,0
1,1,0
1,2,0
2,2,0
3,2,0
4,2,0
5,2,0
5,2,2
4,2,2
3,2,2
2,2,2
1,2,2
0,2,2
0,1,2
0,0,2
0,1,2
0,2,2
0,3,2
0,4,2
0,5,2
0,6,2
0,7,2
0,6,2
0,5,2
1,5,2
2,5,2
3,5,2
3,5,1
2,5,1
1,5,1
0,5,1
0,6,1
0,7,1
0,8,1
0,7,1
0,6,1
0,5,1
1,5,1
2,5,1
3,5,1
3,5,0
2,5,0
1,5,0
0,5,0
0,6,0
0,7,0
0,8,0
0,9,0
1,9,0
2,9,0
3,9,0
4,9,0
5,9,0
6,9,0
5,9,0
4,9,0
3,9,0
3,8,0
3,7,0
3,6,0
3,5,0
3,5,1
3,6,1
4,6,1
4,7,1
4,8,1
4,9,1
5,9,1
6,9,1
7,9,1
8,9,1
7,9,1
6,9,1
5,9,1
4,9,1
4,8,1
4,7,1
4,6,1
3,6,1
3,5,1
3,5,0
3,6,0
3,7,0
3,8,0
3,9,0
4,9,0
5,9,0
6,9,0
7,9,0
8,9,0
9,9,0
9,8,0
9,7,0
9,6,0
9,5,0
8,5,0
7,5,0
6,5,0
5,5,0
4,5,0
3,5,0
3,5,1
4,5,1
5,5,1
6,5,1
7,5,1
8,5,1
9,5,1
9,4,1
9,3,1
9,2,1
8,2,1
7,2,1
6,2,1
5,2,1
5,2,0
5,1,0
6,1,0
7,1,0
7,2,0
8,2,0
9,2,0
8,2,0
8,1,0
8,0,0
7,0,0
6,0,0
5,0,0
5,1,0
5,2,0
5,2,1
5,1,1
5,0,1
