0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
4,0,2
3,0,2
2,0,2
1,0,2
0,0,2
1,0,2
2,0,2
3,0,2
4,0,2
4,0,1
3,0,1
2,0,1
1,0,1
0,0,1
0,1,1
0,2,1
0,3,1
0,4,1
0,5,1
0,6,1
0,7,1
0,8,1
0,9,1
1,9,1
2,9,1
3,9,1
4,9,1
5,9,1
5,8,1
5,7,1
5,6,1
6,6,1
7,6,1
8,6,1
8,5,1
9,5,1
9,5,0
8,5,0
7,5,0
6,5,0
5,5,0
5,6,0
5,7,0
5,8,0
5,9,0
6,9,0
6,8,0
6,7,0
6,6,0
6,5,0
7,5,0
8,5,0
9,5,0
9,5,1
8,5,1
8,6,1
7,6,1
6,6,1
6,7,1
6,8,1
6,9,1
7,9,1
8,9,1
9,9,1
9,8,1
9,7,1
9,6,1
9,5,1
9,5,0
9,6,0
9,7,0
9,8,0
9,7,0
9,6,0
9,5,0
9,5,2
9,6,2
9,7,2
9,8,2
9,7,2
9,6,2
9,5,2
9,4,2
9,3,2
9,2,2
9,1,2
9,2,2
9,3,2
9,4,2
9,5,2
9,5,1
9,4,1
9,3,1
9,2,1
