0,0,0
0,1,0
0,2,0
1,2,0
1,2,1
0,2,1
0,1,1
0,0,1
1,0,1
1,1,1
1,2,1
1,2,0
1,1,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
7,0,0
6,0,0
5,0,0
4,0,0
3,0,0
2,0,0
1,0,0
1,1,0
1,2,0
1,2,2
1,1,2
1,0,2
2,0,2
3,0,2
4,0,2
5,0,2
6,0,2
7,0,2
8,0,2
8,1,2
9,1,2
8,1,2
7,1,2
6,1,2
5,1,2
4,1,2
3,1,2
2,1,2
1,1,2
1,2,2
1,2,1
1,1,1
1,0,1
2,0,1
3,0,1
4,0,1
5,0,1
6,0,1
7,0,1
8,0,1
8,1,1
8,2,1
8,3,1
8,4,1
8,5,1
9,5,1
9,6,1
9,7,1
8,7,1
7,7,1
6,7,1
5,7,1
5,8,1
5,9,1
5,9,2
5,8,2
5,7,2
5,6,2
6,6,2
7,6,2
8,6,2
9,6,2
9,5,2
9,6,2
9,7,2
